발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,c,cluster_4
1657642188325,"86 km SE of King Cove, Alaska",reviewed,0,222,earthquake,3.8, Alaska,-161.4835,54.449,35.0,2022-07-12 16:09:48.325000+00:00,1,blue,1
1615094428520,"288 km NE of Opotiki, New Zealand",reviewed,0,259,earthquake,4.1, New Zealand,179.9806,-36.5495,10.0,2021-03-07 05:20:28.520000+00:00,0,pink,3
1623741102666,"123 km WSW of Naze, Japan",reviewed,0,312,earthquake,4.5, Japan,128.2765,28.0575,10.0,2021-06-15 07:11:42.666000+00:00,0,pink,3
1687766490821,"36 km NW of Hughes, Alaska",reviewed,0,168,earthquake,3.3, Alaska,-154.7163,66.3199,1.9,2023-06-26 08:01:30.821000+00:00,1,blue,1
1623807871037,Kermadec Islands region,reviewed,0,432,earthquake,5.3,Kermadec Islands region,-177.1656,-31.6206,10.0,2021-06-16 01:44:31.037000+00:00,0,red,0
1642795203172,"Rat Islands, Aleutian Islands, Alaska",reviewed,0,178,earthquake,3.4, Aleutian Islands,178.3048,51.9614,11.08,2022-01-21 20:00:03.172000+00:00,1,blue,1
1690528395590,Southwest Indian Ridge,reviewed,0,449,earthquake,5.4,Southwest Indian Ridge,59.8736,-30.5055,10.0,2023-07-28 07:13:15.590000+00:00,0,red,0
1669061726747,"199 km E of Kuril’sk, Russia",reviewed,0,326,earthquake,4.6, Russia,150.4147,45.3253,58.367,2022-11-21 20:15:26.747000+00:00,2,green,2
1676964806184,"59 km S of Whites City, New Mexico",reviewed,0,149,earthquake,3.1, New Mexico,-104.4201385,31.63830216,6.080151367,2023-02-21 07:33:26.184000+00:00,1,blue,1
1689302677221,South Sandwich Islands region,reviewed,0,385,earthquake,5.0,South Sandwich Islands region,-25.8138,-59.4524,35.0,2023-07-14 02:44:37.221000+00:00,2,green,2
